,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,days_act,num_events,num_ses,Gano
125,1.75,2.25,2.66666666666667,2.66666666666667,3.66666666666667,1.25,0,0,0,0,0,0,5,1,2,1,1,1,5,25,0,0,1,2,4,2,0
126,2.0,2.25,2.66666666666667,2.66666666666667,2.33333333333333,2.5,0,0,5,3,0,0,3,0,4,4,1,1,6,40,0,0,1,6,10,7,0
127,3.25,2.5,2.0,2.66666666666667,2.33333333333333,1.5,0,0,0,0,0,0,4,0,0,0,1,1,3,23,0,1,0,1,1,2,0
128,2.5,2.75,3.0,2.66666666666667,2.33333333333333,1.0,0,0,0,3,0,0,5,0,3,3,1,1,2,19,1,1,0,6,10,11,0
129,2.75,1.5,2.0,2.66666666666667,1.66666666666667,2.0,2,0,5,0,0,0,6,1,4,2,1,1,4,20,0,1,0,2,3,2,0
130,2.25,2.75,2.66666666666667,2.66666666666667,2.0,1.0,2,0,6,0,0,0,3,1,1,0,1,1,5,28,0,0,1,2,8,4,0
131,2.25,3.0,1.66666666666667,2.66666666666667,1.66666666666667,2.75,4,0,0,0,0,0,2,1,0,0,1,1,2,21,1,1,0,1,1,1,0
132,1.75,2.0,1.66666666666667,2.83333333333333,2.0,0.75,0,0,5,0,0,0,1,1,5,5,0,0,5,20,0,1,0,2,4,3,0
133,2.25,2.0,1.33333333333333,2.83333333333333,3.33333333333333,1.25,0,0,0,0,8,0,3,0,1,0,1,1,5,24,0,0,0,2,16,3,0
134,1.0,2.25,3.0,2.83333333333333,2.66666666666667,2.5,0,0,0,0,0,0,5,0,4,3,1,1,3,32,0,0,0,2,2,2,0
135,2.0,2.5,3.0,2.83333333333333,3.0,1.0,0,0,0,0,5,0,2,0,0,0,1,1,3,28,0,1,0,3,1,4,0
136,3.25,2.5,2.66666666666667,2.83333333333333,1.66666666666667,1.5,0,0,4,0,0,0,3,0,0,0,1,1,4,27,1,0,0,3,10,6,0
137,2.5,2.75,3.0,2.83333333333333,2.66666666666667,0.5,3,0,5,0,0,0,4,1,2,0,1,1,3,26,0,1,0,2,1,3,0
138,1.75,2.25,2.0,3.0,1.66666666666667,1.5,0,0,0,0,0,0,6,1,0,0,1,1,3,31,0,0,0,2,3,2,0
139,1.0,2.5,2.33333333333333,3.0,4.0,1.0,0,0,0,0,0,0,6,0,0,0,1,1,4,35,0,0,0,2,1,2,0
140,1.0,3.0,2.33333333333333,3.0,3.66666666666667,1.0,0,0,6,0,0,0,2,0,3,2,0,0,7,31,1,0,1,5,3,6,0
141,1.5,2.5,1.66666666666667,3.16666666666667,3.0,2.0,0,0,0,0,0,0,8,1,2,2,1,1,6,24,0,0,1,1,6,2,0
142,3.0,2.5,2.33333333333333,3.16666666666667,2.33333333333333,0.5,1,0,5,0,0,0,4,0,5,5,1,0,6,55,0,0,1,2,2,2,0
143,2.25,2.25,2.33333333333333,3.33333333333333,3.33333333333333,1.0,0,0,0,0,0,0,2,1,2,1,1,0,4,32,0,0,1,1,6,1,0
144,2.0,1.75,2.33333333333333,0.666666666666667,2.33333333333333,0.0,0,1,6,7,0,6,4,1,0,0,1,1,3,31,0,0,1,6,1,8,0
145,2.75,1.0,2.33333333333333,0.833333333333333,2.0,1.5,2,1,0,7,5,0,3,0,0,0,0,0,2,18,0,1,0,12,2,33,0
