;userId;GoalSetting;StrategicPlanning;SelfEvaluation;TaskStrategies;Elaboration;HelpSeeking;SRL;only lecture;Atry to lecture;explore;only asessment;Lcomplete to Atry;lecture to Acomplete;hrs;prior_exp;crs_str;crs_fin;int_topic;int_assess;edu;age;isfemale;emp_student;emp_job;completer;days_act;num_events;num_ses;grade;cluster;Gano;Ocupation
239;b47ec401f2303f9f34d2a36d95255c8df31990ab;1,5;1,5;2,333333333;2,5;3;2,5;2,222222222;13;79;23;9;0;0;4;1;0;0;1;1;2;27;0;1;0;False;17;204;35;61,50000095;1;SI;Student
240;c2bdc56b67d4bad3af28fc84452cb4f0efd8d08d;2;3,25;3,333333333;2,833333333;3,666666667;2,5;2,930555556;22;79;0;0;0;0;3;1;1;1;1;0;4;31;0;0;1;True;14;337;24;90,66666961;2;SI;Employee
241;dddd66c6207541311dc9d9700745b405e0d42ee4;4;3,75;4;3;3,666666667;1,5;3,319444444;7;79;11;0;0;0;6;1;2;1;1;1;7;39;0;0;1;True;6;228;13;100;2;SI;Employee
242;3864b6ac5bb5351f827a3907555c0ed266c938ba;3;2,25;3,666666667;3,333333333;4;1,25;2,916666667;27;79;16;11;0;6;3;1;0;0;1;1;3;29;0;0;1;True;19;393;42;98,79999757;2;SI;Employee
243;ba2c1cdb7b92e44d17f27f9813798caf8c90de09;3,75;3,75;4;3,666666667;3,666666667;1,5;3,388888889;19;79;7;10;0;0;21;1;0;0;1;1;5;22;0;1;0;False;8;183;18;100;2;SI;Student
244;057c2f7f7b065e74a8ffb4336a941edcd2704462;4;4;4;4;4;3,5;3,916666667;11;79;11;3;0;0;5;1;4;3;1;1;4;35;0;0;1;True;15;371;30;100;2;SI;Employee
245;dbd6f8ac8e7a75ea7bf62060ca8c7b40eac677da;2,25;3;3,666666667;3,333333333;3,333333333;2,5;3,013888889;18;80;11;0;0;0;12;1;7;6;1;1;5;23;1;1;0;True;13;451;27;100;2;SI;Student
246;a067b07a4bbf7cdd19fe73574391d4832134a24a;3;3;3;2,166666667;3;2,75;2,819444444;28;85;13;3;0;0;5;1;2;2;1;1;3;33;0;0;1;True;20;282;50;99,14285541;2;SI;Employee
247;66e0e98faa326a3e68b6016ed76155c5eb4427b4;2,75;3;3;2,5;3;2,5;2,791666667;15;85;10;0;8;0;4;1;0;0;1;1;3;20;0;1;0;False;13;318;28;100;2;SI;Student
248;9714b25bb3e0f9c5b096b30313a1d7a97944adcb;3;2,5;3,333333333;2,833333333;3;1;2,611111111;31;85;14;0;0;0;8;1;0;0;1;1;6;65;0;0;0;True;16;380;38;97,74285555;2;SI;None
249;49ed8da2fe0f5d0af4a782f968a61e8fd7738e43;3,25;3;4;3;3,666666667;3,5;3,402777778;10;85;13;0;5;0;3;1;0;0;1;1;4;24;0;0;1;True;20;366;34;88,6857152;1;SI;Employee
250;ffff6fe3c55bc081e4a4ecf4bcf164c5df38b853;3,5;3,75;3;3,5;3,666666667;1;3,069444444;46;85;10;3;11;4;3;0;7;3;1;1;3;45;0;0;0;True;22;440;65;96,54285908;2;SI;None
251;c1ca7a9a4cba2416c636fe4e4621015c1b9ac82c;3;3;3,333333333;3,666666667;4;3,25;3,375;22;85;20;7;0;8;5;1;0;0;1;1;5;39;0;0;1;True;21;362;43;98,28571677;2;SI;Employee
252;9d257ebe5c3cca46793a5bf9910aec938aa70527;3,25;3,25;3;3,833333333;3;3,5;3,305555556;22;85;12;24;0;14;7;0;0;0;1;1;3;26;0;0;0;False;15;555;24;96,10000253;2;SI;None
253;179a660ad227dd147c0049c96604309a3d28648a;4;4;4;4;4;3;3,833333333;37;85;15;21;12;0;6;0;3;0;1;1;3;28;0;0;1;True;18;399;38;96,8095243;2;SI;Employee
254;edc549b52814d9341be1692d4affc5fd8711144e;3,75;3;2,333333333;2,5;2,666666667;2,75;2,833333333;9;89;0;4;5;0;2;1;0;0;1;1;3;42;1;0;1;False;11;289;18;61,78571582;1;SI;Employee
255;2451d0059bb670bc40f9da1753e453c1275e319a;3;3;3;2,833333333;3;2,75;2,930555556;27;89;26;6;0;0;4;0;5;4;1;1;3;42;0;0;1;True;8;258;28;98,79999757;2;SI;Employee
256;bb195eeaae4cde5f09e70f6d4a89214f0ab0ddab;3;2,75;2;3;4;1,25;2,666666667;0;89;0;0;0;0;4;1;21;14;1;1;4;43;0;0;1;True;3;219;9;100;2;SI;Employee
257;41eceab06f53abc1e34e171897fc2d29f8893d09;3,5;3,25;3,333333333;3,333333333;3;2,25;3,111111111;10;89;15;3;0;6;8;1;0;0;1;1;5;57;0;0;0;True;12;310;20;90,74285626;2;SI;None
258;2563f8ae250e8665af8b731d7216bcbaeb3cc7cb;4;4;4;4;4;4;4;26;89;20;9;8;0;4;1;0;6;1;1;5;31;0;0;1;True;13;403;36;100;2;SI;Employee
259;190d7889e90010c11be47c73681ef3516f1b72f1;1,25;1,25;2,666666667;1,5;2,333333333;0,75;1,625;13;90;4;6;0;0;5;1;3;1;1;1;6;53;0;0;1;True;14;268;24;95,88571191;2;SI;Employee
260;7f06e8a916663456d2829002c9d046a3fadf54e2;2;1,75;2;2;2;2,5;2,041666667;26;90;5;11;0;0;3;1;1;0;1;1;5;22;0;1;0;True;18;374;39;100;2;SI;Student
261;fc44ed94b129f1d53465557eaa514eb93f2511ea;2,5;2,5;2,333333333;2,166666667;3;3,5;2,666666667;0;90;0;17;0;0;4;0;1;1;1;1;2;19;0;1;0;True;5;513;9;87,75237799;1;SI;Student
263;6ada02cb11a3bd750630212168ae82b4d69a5e76;2,5;1,75;2,333333333;2,166666667;2;0,25;1,833333333;26;90;18;4;9;0;4;1;2;1;1;1;4;30;0;0;1;True;18;433;56;94,26666498;2;SI;Employee
264;1d2df670dc2e67ed9988a416cf8e061c4a64dc01;3,5;3;3;2,333333333;2;1;2,472222222;6;90;10;14;0;0;1;0;20;5;1;1;7;38;0;0;1;True;12;221;19;88,40952516;1;SI;Employee
265;c51735e29550ad0c7fdbe626f8b0d7d1ab3d527f;3,5;3;3;2,5;3;1;2,666666667;4;90;0;0;0;0;3;1;5;3;1;1;5;31;0;0;0;False;10;150;17;68,54285598;1;SI;None
266;0b6d73db2842d1f5215a3ddf97382afabae6522e;1,25;1,75;3;2,5;3,333333333;3,75;2,597222222;10;90;21;4;0;0;3;1;0;0;1;1;4;22;1;1;0;False;13;298;24;73,28571677;1;SI;Student
267;27f7a31032c5d621f1993bedd7913743f1e80d7a;2,25;2,25;3;2,5;2,666666667;2;2,444444444;12;90;36;0;0;0;10;1;0;0;1;1;4;19;0;1;0;False;14;225;24;77,74285674;1;SI;Student
